cg00000029	16	53468112			RBL2	NM_005611	TSS1500	chr16:53468284-53469209	N_Shore	ClassA	chr16:53468284-53469209*N_Shore	5	0
cg00000108	3	37459206	rs9857774		C3orf35;C3orf35	NM_178339;NM_178342	Body;3'UTR			ClassC		NA	0
cg00000109	3	171916037	rs9864492		FNDC3B;FNDC3B	NM_001135095;NM_022763	Body;Body			ClassC		NA	0
cg00000165	1	91194674						chr1:91190489-91192804	S_Shore	ClassB	chr1:91190489-91192804*S_Shore	3	0
cg00000236	8	42263294			VDAC3;VDAC3	NM_005662;NM_001135694	3'UTR;3'UTR			ClassC		NA	0
cg00000289	14	69341139			ACTN1;ACTN1;ACTN1	NM_001130005;NM_001130004;NM_001102	3'UTR;3'UTR;3'UTR	chr14:69341427-69341820	N_Shore	ClassA	chr14:69341427-69341820*N_Shore	1	0
cg00000292	16	28890100	rs62037371		ATP2A1;ATP2A1	NM_004320;NM_173201	1stExon;1stExon	chr16:28890954-28891868	N_Shore	ClassA	chr16:28890954-28891868*N_Shore	4	0
cg00000321	8	41167802			SFRP1	NM_003012	TSS1500	chr8:41165852-41167140	S_Shore	ClassA	chr8:41165852-41167140*S_Shore	13	0
cg00000363	1	230560793						chr1:230561103-230562702	N_Shore	ClassB	chr1:230561103-230562702*N_Shore	2	0
cg00000622	15	23034447			NIPA2;NIPA2;NIPA2;NIPA2	NM_001008860;NM_030922;NM_001008892;NM_001008894	TSS200;TSS200;TSS200;TSS200	chr15:23033933-23034710	Island	ClassA	chr15:23033933-23034710*Island	12	0
cg00000658	9	139997924			MAN1B1	NM_016219	Body	chr9:139997846-139998048	Island	ClassA	chr9:139997846-139998048*Island	1	0
cg00000714	19	54695678			TSEN34;TSEN34	NM_024075;NM_001077446	Body;Body	chr19:54693034-54695497	S_Shore	ClassA	chr19:54693034-54695497*S_Shore	1	0
cg00000721	6	25282779			LRRC16A	NM_017640	Body	chr6:25279131-25279890	S_Shelf	ClassA	chr6:25279131-25279890*S_Shelf	1	0
cg00000734	3	128902377			CNBP;CNBP;CNBP;CNBP;CNBP;CNBP	NM_003418;NM_001127192;NM_001127194;NM_001127196;NM_001127193;NM_001127195	5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR	chr3:128902134-128902978	Island	ClassA	chr3:128902134-128902978*Island	5	0
cg00000769	12	124086477			DDX55	NM_020936	TSS200	chr12:124086217-124087015	Island	ClassA	chr12:124086217-124087015*Island	12	0
cg00000807	2	23913414			KLHL29	NM_052920	Body	chr2:23913308-23913569	Island	ClassA	chr2:23913308-23913569*Island	4	0
cg00000884	4	154609857			TLR2	NM_003264	5'UTR	chr4:154605086-154606052	S_Shelf	ClassA	chr4:154605086-154606052*S_Shelf	1	0
cg00000905	15	59785306			FAM81A	NM_152450	Body			ClassC		NA	0
cg00000924	11	2720463	rs78369463		KCNQ1;KCNQ1OT1;KCNQ1	NM_000218;NR_002728;NM_181798	Body;Body;Body	chr11:2720410-2722087	Island	ClassA	chr11:2720410-2722087*Island	29	0
cg00000948	8	49890609						chr8:49890386-49890874	Island	ClassB	chr8:49890386-49890874*Island	4	0
cg00000957	1	5937253	rs3747991	rs77973802	NPHP4	NM_015102	Body	chr1:5937157-5937392	Island	ClassA	chr1:5937157-5937392*Island	5	0
cg00001099	8	87081553			PSKH2	NM_033126	Body	chr8:87081653-87082046	N_Shore	ClassA	chr8:87081653-87082046*N_Shore	2	0
cg00001245	3	15106710			MRPS25;MRPS25	NM_022497;NM_022497	1stExon;5'UTR	chr3:15106459-15106971	Island	ClassA	chr3:15106459-15106971*Island	4	0
cg00001249	14	60389786						chr14:60386271-60386750	S_Shelf	ClassB	chr14:60386271-60386750*S_Shelf	1	0
cg00001261	16	3463964	rs76114382							ClassD		NA	0
cg00001269	20	48959004						chr20:48960164-48960373	N_Shore	ClassB	chr20:48960164-48960373*N_Shore	2	0
cg00001349	1	166958439			MAEL	NM_032858	TSS200	chr1:166958220-166958683	Island	ClassA	chr1:166958220-166958683*Island	11	0
cg00001364	1	214170376			PROX1	NM_002763	Body			ClassC		NA	0
cg00001446	1	43831041			ELOVL1	NM_022821	Body	chr1:43832814-43833073	N_Shore	ClassA	chr1:43832814-43833073*N_Shore	1	0
cg00001510	19	54746945			LILRA6	NM_024318	TSS1500			ClassC		NA	1
cg00001534	1	51034865			FAF1	NM_007051	Body			ClassC		NA	0
cg00001582	10	80828702			LOC283050;LOC283050;LOC283050;ZMIZ1	NR_024431;NR_024429;NR_015429;NM_020338	TSS1500;TSS1500;TSS1500;TSS200	chr10:80827070-80830537	Island	ClassA	chr10:80827070-80830537*Island	17	0
cg00001583	1	200011786			NR5A2;NR5A2	NM_205860;NM_003822	Body;Body	chr1:200011400-200012055	Island	ClassA	chr1:200011400-200012055*Island	8	0
cg00001593	1	170490434								ClassD		NA	0
cg00001594	2	11484705			ROCK2;ROCK2	NM_004850;NM_004850	5'UTR;1stExon	chr2:11483959-11485553	Island	ClassA	chr2:11483959-11485553*Island	7	0
cg00001687	16	89761661	rs61740483		CDK10;CDK10;CDK10;CDK10;CDK10;CDK10	NR_027702;NR_027703;NM_001160367;NM_052988;NM_052987;NM_001098533	Body;Body;Body;Body;Body;Body	chr16:89761016-89761218	S_Shore	ClassA	chr16:89761016-89761218*S_Shore	5	0
cg00001747	2	105460263						chr2:105459127-105461770	Island	ClassB	chr2:105459127-105461770*Island	10	0
cg00001791	2	103414042			TMEM182	NM_144632	Body			ClassC		NA	0
cg00001793	12	11905390	rs34966596		ETV6	NM_001987	Body			ClassC		NA	0
cg00001809	14	101154025	rs4905994							ClassD		NA	0
cg00001854	16	47008491			DNAJA2	NM_005880	TSS1500	chr16:47006827-47008029	S_Shore	ClassA	chr16:47006827-47008029*S_Shore	1	0
cg00001874	10	69990588			ATOH7;ATOH7	NM_145178;NM_145178	1stExon;3'UTR	chr10:69990893-69991523	N_Shore	ClassA	chr10:69990893-69991523*N_Shore	1	0
cg00001930	18	60055084						chr18:60051869-60052387	S_Shelf	ClassB	chr18:60051869-60052387*S_Shelf	1	0
cg00002028	1	20960010			PINK1;PINK1	NM_032409;NM_032409	1stExon;5'UTR	chr1:20960045-20960551	N_Shore	ClassA	chr1:20960045-20960551*N_Shore	11	0
cg00002033	19	39798481			LRFN1	NM_020862	Body	chr19:39797786-39799250	Island	ClassA	chr19:39797786-39799250*Island	5	0
cg00002080	21	30390417	rs72301258		RWDD2B	NM_016940	Body	chr21:30391264-30391758	N_Shore	ClassA	chr21:30391264-30391758*N_Shore	1	0
cg00002116	17	79670410			MRPL12;MRPL12	NM_002949;NM_002949	5'UTR;1stExon	chr17:79669571-79670811	Island	ClassA	chr17:79669571-79670811*Island	16	0
cg00002145	2	238249536			COL6A3;COL6A3;COL6A3	NM_004369;NM_057166;NM_057167	Body;Body;Body			ClassC		NA	0
cg00002190	8	19555033								ClassD		NA	0
cg00002224	8	144120399			C8orf31	NM_173687	TSS1500			ClassC		NA	0
cg00002236	18	67873061			RTTN	NM_173630	TSS200	chr18:67872521-67873358	Island	ClassA	chr18:67872521-67873358*Island	13	0
cg00002406	16	30366435	rs35970217		CD2BP2;CD2BP2	NM_006110;NR_024465	5'UTR;TSS200	chr16:30366206-30366761	Island	ClassA	chr16:30366206-30366761*Island	9	0
cg00002426	3	57743543			SLMAP	NM_007159	1stExon	chr3:57741925-57742990	S_Shore	ClassA	chr3:57741925-57742990*S_Shore	7	0
cg00002449	10	28961565						chr10:28957408-28958116	S_Shelf	ClassB	chr10:28957408-28958116*S_Shelf	1	0
cg00002464	8	120428418			NOV	NM_002514	TSS200	chr8:120428398-120429178	Island	ClassA	chr8:120428398-120429178*Island	5	0
cg00002473	2	218988876			CXCR2	NM_001168298	TSS1500			ClassC		NA	0
cg00002490	4	2264510			MXD4	NM_006454	TSS1500	chr4:2262960-2264669	Island	ClassA	chr4:2262960-2264669*Island	13	0
cg00002531	7	127721794			SND1;MIR593	NM_014390;NR_030324	Body;TSS200			ClassC		NA	0
cg00002591	3	52870543			MUSTN1	NM_205853	TSS1500			ClassC		NA	0
cg00002593	1	1268793			TAS1R3	NM_152228	Body	chr1:1267435-1268986	Island	ClassA	chr1:1267435-1268986*Island	8	0
cg00002597	16	31437783			ITGAD	NM_005353	3'UTR	chr16:31438891-31439682	N_Shore	ClassA	chr16:31438891-31439682*N_Shore	1	0
cg00002646	1	153515502			S100A5	NM_002962	TSS1500			ClassC		NA	0
cg00002660	12	56583610	rs7977273		SMARCC2;SMARCC2;SMARCC2	NM_001130420;NM_003075;NM_139067	TSS1500;TSS1500;TSS1500	chr12:56583406-56583682	Island	ClassA	chr12:56583406-56583682*Island	3	0
cg00002719	1	169396706			C1orf114	NM_021179	TSS200	chr1:169396621-169396869	Island	ClassA	chr1:169396621-169396869*Island	8	0
cg00002749	17	57839538			TMEM49	NM_030938	Body			ClassC		NA	0
cg00002769	16	90002618						chr16:90000351-90000687	S_Shore	ClassB	chr16:90000351-90000687*S_Shore	1	0
cg00002808	1	223568700			C1orf65;C1orf65	NM_152610;NM_152610	3'UTR;1stExon	chr1:223566642-223567268	S_Shore	ClassA	chr1:223566642-223567268*S_Shore	1	0
